ID_FALLA;FALLA_ID;FALLA;DESCRIPCION_FALLA;LOCALIZACION_FALLA;TIPIFICACION_FALLA;FALLA_REAL;IMPUTABILIDAD;INTERFAZ;MAL_ESCALADO_TERRENO;GRUPO_FALLA;FECHA_INICIO;FECHA_FIN;VERTICAL;NIVEL_2_VERTICAL;NIVEL_3_VERTICAL
1;B;0;SIN CODIGO;Sin Descripcion;Sin Descripcion;Sin Falla;CLIENTE;B;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2;B0;0;SIN CODIGO;Sin Descripcion;Sin Descripcion;Sin Falla;CLIENTE;B;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
3;B0800;800;CERRADO POR EL CLIENTE;Sin Descripcion;Sin Descripcion;Sin Falla;CLIENTE;B;SI;Se encontro bueno;2017-06-18 14:42:38.380;NULL;Cerrado sin intervención;Cerrado por el cliente;Cliente Incumple Cita
4;B0802;802;RECLAMADO POR TERCEROS;Sin Descripcion;Sin Descripcion;Sin Falla;UNE;B;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
5;B0803;803;NO SE REQUIERE REPARACIÓN  (SIN VISITA);Sin Descripcion;Sin Descripcion;Sin Falla;CLIENTE;B;NULL;NULL;2017-06-18 14:42:38.473;NULL;Cerrado sin intervención;Bueno sin visita;Intermitencia
6;B0804;804;PRUEBAS OK - RETER;Sin Descripcion;Sin Descripcion;Sin Falla;UNE;B;SI;Se encontro bueno;2017-06-18 14:42:38.287;NULL;Cerrado sin intervención;Bueno con visita;Sin Falla
7;B0805;805;CLIENTE NO CONTACTADO TELEFONICAMENTE;Sin Descripcion;Sin Descripcion;Sin Falla;CLIENTE;B;SI;Se encontro bueno;2017-06-18 14:42:38.673;NULL;Cerrado sin intervención;Cliente sin contactar;No se ubica al cliente
8;B0806;806;REPARADO POR EL CLIENTE MAS NO INFORMÓ.;Sin Descripcion;Sin Descripcion;Sin Falla;CLIENTE;B;NULL;NULL;2017-06-18 14:42:38.397;NULL;cliente;Equipos Cliente;Hardware De Usuario
9;B0807;807;NO SE REQUIERE REPARACIÓN (CON VISITA);Sin Descripcion;Sin Descripcion;Sin Falla;CLIENTE;B;SI;Se encontro bueno;2017-06-18 14:42:38.807;NULL;Cerrado sin intervención;Bueno con visita;Intermitencia
10;B0809;809;DAÑO GENERAL EXTERNO;Sin Descripcion;Sin Descripcion;Con Falla;UNE;B;NULL;NULL;2017-06-18 14:42:38.390;NULL;Infraestructura;Falla de Servicio;Causa Comun
11;B0810;810;REVISION DE RED OK;Sin Descripcion;Sin Descripcion;Sin Falla;UNE;B;NULL;NULL;2017-06-18 14:42:38.080;NULL;Cerrado sin intervención;Bueno con visita;Sin Falla
12;B0811;811;ACTUALIZACAION BASE DATOS-FENIX;Sin Descripcion;Sin Descripcion;Sin Falla;UNE;B;SI;Reconfiguración Equipo/Puerto;2017-06-18 14:42:38.493;NULL;Plataforma TigoUne;Plataforma TI;BD
13;B0812;812;NO USAR   (DAÑO GENERAL  (CENTRALES));Sin Descripcion;Sin Descripcion;Con Falla;UNE;B;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
14;B0817;817;NORMAL EN CENTRALES;Sin Descripcion;Sin Descripcion;Sin Falla;UNE;B;NULL;NULL;2017-06-18 14:42:38.787;NULL;Plataforma Huawei;Plataforma TT;Plataforma Voz
15;B0818;818;SOLUCIONADO X DESCARTE;Sin Descripcion;Sin Descripcion;Sin Falla;UNE;B;SI;Se encontro bueno;2017-06-18 14:42:38.403;NULL;Premisas;Red Interna;Cables
16;B0821;821;CAMBIO FICHO;Sin Descripcion;Sin Descripcion;Con Falla;UNE;B;NULL;NULL;2017-06-18 14:42:38.840;NULL;Premisas;Red Externa Cobre;Cable Primario
17;B0826;826;CAMBIO DE PAR PRIMARIO;Sin Descripcion;Sin Descripcion;Con Falla;UNE;B;NULL;NULL;2017-06-18 14:42:38.547;NULL;Infraestructura;Red Externa Cobre;Cable Primario
